id	title	imdbID	year	rtID	rtAllCriticsRating	rtAllCriticsNumReviews	rtAllCriticsNumFresh	rtAllCriticsNumRotten	rtAllCriticsScore	rtTopCriticsRating	rtTopCriticsNumReviews	rtTopCriticsNumFresh	rtTopCriticsNumRotten	rtTopCriticsScore	rtAudienceRating	rtAudienceNumRatings	rtAudienceScore	movie	distributor	genre	gross	theaters	days	distributor_Sony	distributor_Warner_Bros	distributor_Universal	distributor_Walt_Disney	distributor_20th_Century_Fox	distributor_Paramount	distributor_Miramax	distributor_MGM	distributor_Sony_Classics	distributor_New_Line	distributor_Lionsgate	distributor_IFC_Films	distributor_Strand	distributor_Magnolia	distributor_Fox_Searchlight	distributor_Orion	distributor_First_Run_Features	distributor_ThinkFilm	distributor_Regent_Releasing	distributor_Focus_Features	genre_Drama	genre_Comedy	genre_Documentary	genre_Action	genre_ThrillerSuspense	genre_Adventure	genre_Horror	genre_Romantic_Comedy	genre_Musical	genre_Black_Comedy	genre_Western	genre_ConcertPerformance	genre_Multiple_Genres	freq_ge0_l1	freq_ge1_l2	freq_ge2_l3	freq_ge3_l4	freq_ge4_l5	avg_rating	NrOfTopActors	NrOfTopDirectors	box_office
270	love affair	110391	1994	1056341-love_affair	4.8	26	8	18	30	0	3	1	2	33	3.5	1260	71	love affair	Warner Bros.	Drama	38908	182	73	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	4	19	8	1	2.16	2	0	18266245
6837	love affair	110391	1994	1056341-love_affair	4.8	26	8	18	30	0	3	1	2	33	3.5	1260	71	love affair	Warner Bros.	Drama	38908	182	73	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	18	6	2.93	2	0	18266245
272	madness of king george	110428	1994	madness_of_king_george	7.8	42	39	3	92	8.1	10	10	0	100	3.6	1886	76	madness of king george	Goldwyn Entertainment	Drama	20661	19	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	5	17	85	85	3.51	0	0	15110485
275	mixed nuts	110538	1994	mixed_nuts	2.8	28	2	26	7	2.5	6	0	6	0	2.9	2410	46	mixed nuts	Sony Pictures	Comedy	308884	823	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	14	47	129	119	3.37	1	0	6607387
6525	mixed nuts	110538	1994	mixed_nuts	2.8	28	2	26	7	2.5	6	0	6	0	2.9	2410	46	mixed nuts	Sony Pictures	Comedy	308884	823	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	20	32	34	9	2.39	1	0	6607387
276	milk money	110516	1994	1055255-milk_money	2.6	25	1	24	4	2.5	8	0	8	0	2.7	2126	40	milk money	Paramount Pictures	Romantic Comedy	81075	131	131	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	8	6	3.13	1	0	18041044
282	nell	110638	1994	nell	5	31	16	15	51	0	3	3	0	100	3.1	5373	63	nell	20th Century Fox	Drama	102959	180	110	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	9	20	35	4	2.59	2	0	33459959
288	natural born killers	110632	1994	natural_born_killers	6	29	15	14	51	5.9	7	3	4	42	3.5	39062	80	natural born killers	Warner Bros.	Black Comedy	93390	325	129	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	4	5	3	2.53	3	1	50215954
7943	natural born killers	110632	1994	natural_born_killers	6	29	15	14	51	5.9	7	3	4	42	3.5	39062	80	natural born killers	Warner Bros.	Black Comedy	93390	325	129	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	6	5	3.17	3	1	50215954
26117	natural born killers	110632	1994	natural_born_killers	6	29	15	14	51	5.9	7	3	4	42	3.5	39062	80	natural born killers	Warner Bros.	Black Comedy	93390	325	129	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	8	34	43	3.51	3	1	50215954
289	only you	110737	1994	1055875-only_you	5.5	22	11	11	50	0	3	1	2	33	3.3	4388	69	only you	Sony Pictures	Romantic Comedy	436700	501	38	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	13	31	3.84	2	0	19315506
290	once were warriors	110729	1994	once_were_warriors	7.7	31	29	2	93	7.4	8	7	1	87	0	0	0	once were warriors	Fine Line	Drama	16205	21	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	12	35	113	70	3.25	0	0	1295787
296	pulp fiction	110912	1994	pulp_fiction	8.9	50	47	3	94	8.4	14	13	1	92	4.2	249269	95	pulp fiction	NCM Fathom	Drama	21346	71	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1.5	3	1	107886108
299	priest	110889	1994	1063814-1063814-priest	7.2	19	13	6	68	0	4	3	1	75	3.8	1042	81	priest	Miramax	Drama	40020	44	94	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	41	88	217	279	3.38	0	0	4106277
300	quiz show	110932	1994	quiz_show	8.1	50	48	2	96	8.2	12	12	0	100	3.5	5428	79	quiz show	Walt Disney	Drama	41904	72	222	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	13	23	18	3.19	1	0	24775084
301	picture bride	114129	1994	picture_bride	6.8	10	8	2	80	0	3	3	0	100	3.7	324	77	picture bride	Miramax	Drama	34169	29	59	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	36	87	3.91	0	0	848722
313	swan princess	111333	1994	swan_princess	5.3	9	4	5	44	0	3	2	1	66	3.1	5951	66	swan princess	New Line	Romantic Comedy	52892	143	73	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	5	1	2.75	0	0	9618296
314	secret of roan inish	111112	1994	the-secret-of-roan-inish	7.8	40	39	1	97	7.5	12	11	1	91	3.9	1439	86	secret of roan inish	First Look	Adventure	16701	13	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	6	2	2.92	0	0	6101815
315	specialist	111255	1994	1056079-specialist	3.1	24	1	23	4	3.8	5	0	5	0	2.5	5147	34	specialist	Warner Bros.	Action	38382	55	122	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	11	17	60	200	1249	4.24	0	0	57344996
316	stargate	111282	1994	stargate	5.2	37	17	20	45	0	4	1	3	25	3.3	23611	75	stargate	MGM	Action	88314	155	122	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2.67	0	0	71346004
318	shawshank redemption	111161	1994	shawshank_redemption	8	57	50	7	87	7.9	11	10	1	90	4.4	168839	98	shawshank redemption	Sony Pictures	Drama	38860	43	255	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	24	167	196	3.65	2	1	28233104
319	shallow grave	111149	1994	1058923-shallow_grave	6.4	42	30	12	71	5.4	10	5	5	50	3.6	9041	81	shallow grave	Gramercy	Black Comedy	53757	31	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	7	2	3.14	0	0	1952130
322	swimming with sharks	114594	1994	swimming_with_sharks	6.3	33	25	8	75	5.4	10	5	5	50	3.6	2888	78	swimming with sharks	Trimark	Comedy	17642	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16	24	3.82	2	0	311156
324	sum of us	111309	1994	sum_of_us	6.5	13	9	4	69	0	2	1	1	50	3.6	1056	74	sum of us	Goldwyn Entertainment	Drama	44891	27	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	11	43	85	33	2.96	1	0	576182
329	star trek generations	111280	1994	star_trek_generations	5.5	44	20	24	45	6.4	9	6	3	66	3.3	15342	62	star trek generations	Paramount Pictures	Adventure	90769	155	129	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4	13	52	146	3.95	1	0	75510568
331	tom viv	111454	1994	tom_and_viv	4.8	11	4	7	36	0	2	1	1	50	3.4	351	59	tom viv	Miramax	Drama	58618	14	87	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	3.42	0	0	237353
334	vanya on 42nd street	111590	1994	vanya_on_42nd_street	7.6	32	28	4	87	7.7	9	8	1	88	3.7	466	73	vanya on 42nd street	Sony Pictures	Drama	53277	16	103	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	11	3	2.72	1	0	1190126
341	double happiness	109655	1994	double_happiness	7	10	7	3	70	0	2	2	0	100	3.4	627	61	double happiness	Fine Line	Comedy	12710	11	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	27	70	105	3.59	0	0	439196
342	muriels wedding	110598	1994	muriels_wedding	7.1	32	29	3	90	0	4	4	0	100	3.4	8356	78	muriels wedding	Miramax	Comedy	37142	77	122	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	3.25	0	0	15103199
344	ace ventura pet detective	109040	1994	ace_ventura_pet_detective	4.6	37	18	19	48	0	2	0	2	0	3.1	163811	57	ace ventura pet detective	Warner Bros.	Comedy	294880	501	115	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	35	48	3.67	0	0	71602138
348	bullets over broadway	109348	1994	bullets_over_broadway	7.9	54	52	2	96	8.2	12	12	0	100	3.6	3913	79	bullets over broadway	Miramax	Comedy	72072	70	178	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	15	3.93	1	1	13202987
349	clear present danger	109444	1994	clear_and_present_danger	6.8	37	29	8	78	7.1	9	7	2	77	3.3	11095	69	clear present danger	Paramount Pictures	Action	52865	62	159	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	8	5	1	2.39	1	0	121832939
350	client	109446	1994	client	6.1	35	28	7	80	6.2	7	5	2	71	3.3	7408	67	client	Warner Bros.	Drama	12920	125	138	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	28	4.13	2	0	92112663
351	corrina corrina	109484	1994	corrina_corrina	5.2	16	6	10	37	0	3	0	3	0	3.1	4265	65	corrina corrina	New Line	Comedy	413566	568	87	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	26	59	51	42	2.75	1	0	19452694
352	crooklyn	109504	1994	crooklyn	6.6	24	18	6	75	6.8	7	6	1	85	4.1	3115	87	crooklyn	Universal	Comedy	835200	696	24	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	12	20	10	2.88	0	1	11344905
353	crow	109506	1994	crow	7	40	33	7	82	6.9	8	6	2	75	3.8	64467	87	crow	Miramax	Action	2325460	1306	33	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	14	14	97	218	111	3.09	0	0	42683404
354	cobb	109450	1994	cobb	6.2	32	21	11	65	5.2	8	4	4	50	3.2	875	57	cobb	Warner Bros.	Drama	84044	37	52	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	6	1	2.47	1	0	766400
355	flintstones	109813	1994	1051663-flintstones	3.7	40	8	32	20	4.5	7	2	5	28	2.5	11823	35	flintstones	Universal	Comedy	1238745	921	80	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	1	2.8	2	0	125388575
356	forrest gump	109830	1994	forrest_gump	6.9	53	37	16	69	7	13	9	4	69	4.1	205253	93	forrest gump	Paramount Pictures	Drama	95604	248	320	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	5	15	14	10	2.63	1	0	329610361
357	four weddings a funeral	109831	1994	four_weddings_and_a_funeral	7.5	49	47	2	95	7.3	9	8	1	88	3.2	21524	68	four weddings a funeral	Gramercy	Romantic Comedy	248273	241	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	12	35	94	99	3.32	0	0	52086062
359	i like it like that	110091	1994	i_like_it_like_that	7.4	9	7	2	77	0	3	3	0	100	4	625	85	i like it like that	Sony Pictures	Drama	282772	144	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	4	3.29	0	0	1138499
360	i love trouble	110093	1994		0	0	0	0	0	0	0	0	0	0	0	0	0	i love trouble	Walt Disney	Romantic Comedy	1803618	1388	26	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1.5	1	0	26429089
361	it could happen to you	110167	1994	1054344-it_could_happen_to_you	6.2	34	23	11	67	6.2	8	6	2	75	3	6180	53	it could happen to you	Sony Pictures	Romantic Comedy	323123	435	94	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	10	43	164	295	3.74	0	0	36901812
364	lion king	110357	1994	lion_king	8	61	56	5	91	7.8	13	13	0	100	3.9	127550	89	lion king	Walt Disney	Adventure	12155	55	285	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	7	2	3.4	2	0	312825889
367	mask	110475	1994	1053779-mask	6.4	44	33	11	75	6.1	9	5	4	55	3.2	68419	66	mask	New Line	Comedy	56958	107	192	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	5	8	9	1	2.35	0	0	119874149
8806	mask	110475	1994	1053779-mask	6.4	44	33	11	75	6.1	9	5	4	55	3.2	68419	66	mask	New Line	Comedy	56958	107	192	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	41	119	215	446	228	2.91	0	0	119874149
8880	mask	110475	1994	1053779-mask	6.4	44	33	11	75	6.1	9	5	4	55	3.2	68419	66	mask	New Line	Comedy	56958	107	192	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	13	31	92	158	3.6	0	0	119874149
368	maverick	110478	1994	maverick	6	37	26	11	70	7.4	6	6	0	100	3.2	11507	68	maverick	Warner Bros.	Western	405657	419	129	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	20	18	3.5	2	0	100919952
369	mrs parker vicious circle	110588	1994	mrs_parker_and_the_vicious_circle	6.3	24	17	7	70	0	3	2	1	66	3.5	634	62	mrs parker vicious circle	Fine Line	Drama	54239	28	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	26	20	3.48	1	0	1940487
370	naked gun 33 13 final insult	110622	1994	naked_gun_33_13_the_final_insult	5.6	32	17	15	53	7	7	6	1	85	2.9	10482	59	naked gun 33 13 final insult	Paramount Pictures	Comedy	154658	240	122	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	11	49	83	3.7	1	0	50825302
371	paper	110771	1994	paper	6.7	31	27	4	87	6.9	7	6	1	85	3.1	1357	54	paper	Universal	Comedy	150185	213	101	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	12	61	221	205	3.48	3	0	36584490
372	reality bites	110950	1994	reality_bites	6	42	27	15	64	6.1	9	5	4	55	3.3	10533	74	reality bites	Universal	Romantic Comedy	3583750	1175	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	11	44	180	82	3.24	2	0	10575425
374	rihie rih	110989	1994	richie_rich	4.2	20	5	15	25	4.8	5	2	3	40	2.5	10242	38	rihie rih	Warner Bros.	Comedy	58947	397	110	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	14	32	19	3.18	0	0	38059575
375	safe passage	111054	1994	safe_passage	5.8	12	6	6	50	0	3	1	2	33	3.4	310	59	safe passage	New Line	Drama	95757	199	38	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	6	11	3.38	1	0	1517700
376	river wild	110997	1994	river_wild	5.8	27	15	12	55	5.8	6	3	3	50	2.9	5610	50	river wild	Universal	Action	128355	151	122	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	19	61	202	237	3.48	1	0	46451705
377	speed	111257	1994	1052692-1052692-speed	7.6	41	37	4	90	7.1	9	7	2	77	3.3	51008	72	speed	20th Century Fox	Action	282332	352	129	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	5	12	6	3.08	0	0	120360822
378	speechless	111256	1994	speechless	3.9	25	3	22	12	3.8	6	0	6	0	2.8	683	34	speechless	MGM	Romantic Comedy	48381	113	73	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	25	60	150	73	14	2.17	1	0	20548173
379	timecop	111438	1994	timecop	5.3	38	18	20	47	5.1	9	4	5	44	2.6	6534	38	timecop	Universal	Action	159885	187	87	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	30	106	369	1054	3.93	0	0	44327925
380	true lies	111503	1994	true_lies	6.4	45	31	14	68	5.4	9	5	4	55	3.2	27905	70	true lies	20th Century Fox	Action	25914	24	171	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	20	70	303	330	3.53	1	1	146273950
381	when a man loves a woman	111693	1994	when_a_man_loves_a_woman	6.5	19	13	6	68	0	3	2	1	66	3.3	6791	76	when a man loves a woman	Walt Disney	Drama	229164	339	115	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	22	14	3.09	2	0	48586043
382	wolf	111742	1994	1053942-wolf	5.9	48	29	19	60	5.9	8	5	3	62	2.8	6634	43	wolf	Sony Pictures	Thriller/Suspense	2103325	1752	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	2.17	3	1	59486001
383	wyatt earp	111756	1994	1052698-wyatt_earp	5.3	26	11	15	42	0	3	0	3	0	3.2	8070	63	wyatt earp	Warner Bros.	Western	2815516	1733	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	18	16	2	2.45	1	0	19653310
385	a man of no importance	110455	1994	man_of_no_importance	7	12	10	2	83	0	3	2	1	66	3.6	111	62	a man of no importance	Sony Pictures Classics	Drama	72613	21	53	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	29	115	347	533	3.6	0	0	555716
387	a low down dirty shame	110399	1994	low_down_dirty_shame	3.6	20	0	20	0	3.5	6	0	6	0	2.9	3460	58	a low down dirty shame	Walt Disney	Action	100798	111	110	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	12	31	16	3.09	0	0	29097256
389	le colonel chabert	109454	1994	1058427-colonel_chabert	7.1	6	5	1	83	0	1	1	0	100	3.6	142	59	le colonel chabert	October Films	Drama	28329	4	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	17	78	215	162	3.29	0	0	238158
391	jasons lyric	110186	1994	jasons_lyric	6	14	10	4	71	0	3	2	1	66	4	2470	87	jasons lyric	Gramercy	Drama	45810	52	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17	42	123	192	103	2.91	1	0	20680473
393	street fighter	111301	1994	1058516-street_fighter	2.9	24	3	21	12	0	4	0	4	0	2.2	10305	25	street fighter	Universal	Action	97955	137	87	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	13	32	11	3.05	0	0	33210975
405	highler iii sorcerer	110027	1994	highlander1994	0	0	0	0	0	0	0	0	0	0	0	0	0	highler iii sorcerer	Miramax	Action	141365	369	45	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	5	6	8	4	2.5	0	0	13738574
406	federal hill	109785	1994	federal_hill	6.4	15	12	3	80	6.2	9	6	3	66	3	131	41	federal hill	Trimark	Drama	12878	2	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	31	68	79	24	2.6	0	0	174979
408	8 seconds	109021	1994	8_seconds	5.2	12	4	8	33	0	2	0	2	0	3.6	7861	89	8 seconds	New Line	Drama	1545711	838	24	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	15	30	28	3.28	1	0	11944086
409	above rim	109035	1994	above_the_rim	5.4	18	10	8	55	5	6	3	3	50	3.5	4319	84	above rim	New Line	Drama	1842882	891	19	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	11	63	78	27	2.84	0	0	11580007
413	airheads	109068	1994	airheads	4.2	31	7	24	22	4.6	8	3	5	37	2.9	13551	51	airheads	20th Century Fox	Comedy	1911739	1228	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3.8	0	0	1911739
414	air up re	109067	1994	air_up_there	4	26	6	20	23	3	6	0	6	0	2.6	2385	33	air up re	Walt Disney	Comedy	4597976	1721	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	2	3.04	0	0	10972655
416	bad girls	109198	1994	1051219-bad_girls	3.5	21	2	19	9	0	4	0	4	0	2.8	5946	49	bad girls	20th Century Fox	Western	949067	1371	24	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	6	8	3.5	0	0	13349580
420	beverly hills cop iii	109254	1994	beverly_hills_cop_3	3.3	30	3	27	10	2.9	6	0	6	0	2.9	12777	50	beverly hills cop iii	Paramount Pictures	Action	1760871	1869	26	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	5	4.06	0	0	37551354
421	black beauty	109279	1994	1126533-black_friday	0	0	0	0	0	0	0	0	0	0	0	0	0	black beauty	Warner Bros.	Drama	1285820	1312	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	49	46	19	0	1.75	0	0	1285820
8929	black beauty	109279	1994	1126533-black_friday	0	0	0	0	0	0	0	0	0	0	0	0	0	black beauty	Warner Bros.	Drama	1285820	1312	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4.1	0	0	1285820
423	blown away	109303	1994	1052838-blown_away	4.8	18	5	13	27	0	3	0	3	0	2.9	3591	46	blown away	MGM	Action	2532659	1862	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3.5	3	0	23762518
424	blue chips	109305	1994	blue_chips	5.1	26	10	16	38	4.6	8	3	5	37	3	1545	50	blue chips	Paramount Pictures	Drama	2660597	1960	17	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1.75	0	0	19024209
425	blue sky	109306	1994	blue-sky	6.3	18	13	5	72	0	3	2	1	66	3.2	809	52	blue sky	Orion Pictures	Drama	89416	89	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2.5	2	0	3235241
